tune_no,tune_name,tune_meter,alt_meter,tune_book,tune_author,file_name,note
48,St. Paul's,S.M.,,LFTBs,Sir John Stainer,48r.mid,
49,Serenity,S.M.,,LFTBs,C. Bryan,49r.mid,
50,Upward,S.M.,,LFTBs,Mrs. J.A. Lambert,50r.mid,
53,Woldingham,S.M.D.,,LFTBs,Michael Lewis (1963),53r.mid,
54,El Elyon,4.8.4.8.8.,,LFTBs,Miss E.C. Shanks,54r.mid,
57,Splendor,4.8.4.8.8.,,LFTBs,Peter Blanche,57r.mid,
58,Summit,4.8.4.8.8.,,LFTBs,Gordon Millar,58r.mid,
62,Come,6.4.6.4.6.4.6.4.,,LFTBs,H.F. Morley,62r.mid,
63,Culzean,6.4.6.4.6.4.6.4.,,LFTBs,Gordon Millar,63r.mid,
64,Linnwood,6.4.6.4.6.4.6.4.,,LFTBs,Alastair Millar,64r.mid,
65,Oakleigh,6.4.6.4.6.4.6.4.,,LFTBs,R.A. Evershead,65r.mid,
66,Tempestas,6.4.6.4.6.4.6.4.,,LFTBs,Thomas Langton,66r.mid
69,Cromer,6.4.6.4.6.6.6.4.,,LFTBs,R.A. Evershead,69r.mid
70,Eternity,6.4.6.4.6.6.6.4.,,LFTBs,John F. Harvey,70r.mid
71,Frankincense,6.4.6.4.6.6.6.4.,,LFTBs,P.S. Pope,71r.mid
72,Haverstock Hill,6.4.6.4.6.6.6.4.,,LFTBs,T.E. Perkins,72r.mid
79,Subjection,6.6.6.6.6.6.6.6.,,LFTBs,F.H. Parkes,79r.mid
80,Author of Life,6.6.6.6.8.8.,,LFTBs,Sir John Stainer,80r.mid
84,Jubilee,6.6.6.6.8.8.,,LFTBs,Walter R.F. Hope,84r.mid
85,Maze Hill,6.6.6.6.8.8.,,LFTBs,Charles Nixon,85r.mid
86,St. John,6.6.6.6.8.8.,,LFTBs,J. Baptiste Calkin,86r.mid
87,Torquay,6.6.6.6.8.8.,,LFTBs,A.B. Skeffington (1928),87r.mid
88,Triumph,6.6.6.6.8.8.,,LFTBs,Walter R.F. Hope,88r.mid
99,Blairgowrie,7.6.7.6.7.6.7.6.,,LFTBs,Dr. J.B. Dykes,99r.mid
100,Chebar,7.6.7.6.7.6.7.6.,,LFTBs,Henry Smart,100r.mid
101,Colwyn,7.6.7.6.7.6.7.6.,,LFTBs,Gordon Millar,101r.mid
102,Gerizim,7.6.7.6.7.6.7.6.,,LFTBs,Miss E.C. Shanks,102r.mid
103,German Tunes (1952) No.37,7.6.7.6.7.6.7.6.,,LFTBs,J. Michael Haydn,103r.mid
104,German Tunes (1952) No.38,7.6.7.6.7.6.7.6.,,LFTBs,Unknown,104r.mid
105,German Tunes (1952) No.41,7.6.7.6.7.6.7.6.,,LFTBs,Unknown,105r.mid
106,Jedidja,7.6.7.6.7.6.7.6.,,LFTBs,E. Carren,106r.mid
107,Kelvin,7.6.7.6.7.6.7.6.,,LFTBs,Gordon Millar,107r.mid
108,Refulgence,7.6.7.6.7.6.7.6.,,LFTBs,D.A.J. Burling,108r.mid
109,Rotterdam,7.6.7.6.7.6.7.6.,,LFTBs,B. Tours,109r.mid
110,Whetstone,7.6.7.6.7.6.7.6.,,LFTBs,John F. Harvey,110r.mid
118,Mourne,7.7.7.7.7.7.,,LFTBs,Gordon Millar,118r.mid
119,Rock of Ages,7.7.7.7.7.7.,,LFTBs,Peter Blanche,119r.mid
133,Winchester,8.5.8.5.8.5.8.5.,,LFTBs,Miss E.C. Shanks,133r.mid
134,Cathcart,8.6.8.4.,,LFTBs,Gordon Millar,134r.mid
135,Dayspring,8.6.8.4.,,LFTBs,J.F. Taylor,135r.mid
136,Holy Cross,8.6.8.4.,,LFTBs,A.H. Brown,136r.mid
140,Albercroft,8.6.8.6.8.8.,,LFTBs,A.L. Bloomfield,140r.mid
144,Extolment,8.6.8.6.8.8.,,LFTBs,W.R. Mason,144r.mid
145,Featherstone,8.6.8.6.8.8.,,LFTBs,F.S. Pope,145r.mid,
146,Monica,8.6.8.6.8.8.,,LFTBs,N. Whitbouro,146r.mid,
147,Then Sahll My Heart Keep Singing,8.8.6.8.8.6.,,LFTBs,W.A. Ogden,147r.mid,
148,Cleveland,8.6.8.8.6.8.8.,,LFTBs,Miss. E.C. Shanks,148r.mid,
152,Entreaty,8.7.8.7.,,LFTBs,John F. Harvey,152r.mid,
153,Maschil,8.7.8.7.,,LFTBs,E. Carren,153r.mid,
154,Norfolk,8.7.8.7.,,LFTBs,K.D. Clarke,154r.mid,
155,Oxford,8.7.8.7.,,LFTBs,Mrs. Daphne M. Morren,155r.mid,
156,Rapture,8.7.8.7.,,LFTBs,Peter Blanche,156r.mid,
157,Resurrection,8.7.8.7.,8.8.7.7.,LFTBs,Mrs. D.L. Johnston,157r.mid,
158,Riposo,8.7.8.7.,,LFTBs,C. Leflaive,158r.mid,
159,Rivermede,8.7.8.7.,,LFTBs,Miss A.H. Lee,159r.mid,
172,Caersalem,8.7.8.7.4.7.,,LFTBs,Robert Edwards,172r.mid,Repeat 5th line of each verse 3 times
173,Concordia,8.7.8.7.4.7.,,LFTBs,Eric Burgess,173r.mid,Repeat 5th and 6th lines of each verse
174,Lavrock,8.7.8.7.4.7.,,LFTBs,Walter R.F. Hope,174r.mid,Repeat 5th line of each verse
178,Jura,8.7.8.7.7.7.,,LFTBs,S.J. Vail,178r.mid,Repeat last line of each verse
179,Keturah,8.7.8.7.7.7.,,LFTBs,Miss A.H. Lee,179r.mid
182,Eucharistica,8.7.8.7.8.7.8.7.,,LFTBs,J.W. Elliott,182r.mid
